"","orig.ident","nCount_RNA","nFeature_RNA","Cell_ID","nCount_SCT","nFeature_SCT","SCT_snn_res.0.8","seurat_clusters"
"cell264","FISH",46,9,"Cell 264",24,8,"0","0"
"cell265","FISH",76,9,"Cell 265",23,7,"3","3"
"cell266","FISH",20,7,"Cell 266",24,7,"3","3"
"cell267","FISH",29,9,"Cell 267",25,9,"2","2"
"cell268","FISH",9,5,"Cell 268",22,7,"3","3"
"cell269","FISH",12,7,"Cell 269",26,9,"3","3"
"cell270","FISH",88,8,"Cell 270",27,6,"1","1"
"cell271","FISH",11,5,"Cell 271",25,8,"0","0"
"cell272","FISH",11,6,"Cell 272",24,7,"0","0"
"cell273","FISH",50,9,"Cell 273",25,8,"2","2"
"cell274","FISH",2,2,"Cell 274",23,9,"0","0"
"cell275","FISH",86,9,"Cell 275",25,7,"3","3"
"cell276","FISH",13,6,"Cell 276",23,7,"1","1"
"cell277","FISH",10,4,"Cell 277",22,6,"2","2"
"cell278","FISH",7,4,"Cell 278",22,8,"1","1"
"cell280","FISH",21,7,"Cell 280",22,7,"1","1"
"cell281","FISH",30,8,"Cell 281",23,8,"2","2"
"cell282","FISH",9,5,"Cell 282",23,7,"3","3"
"cell283","FISH",33,8,"Cell 283",24,7,"3","3"
"cell284","FISH",51,8,"Cell 284",24,7,"0","0"
"cell286","FISH",17,8,"Cell 286",23,8,"3","3"
